"ID","Region","Regulated.Dam","Primary.Purpose","Primary.Type","Height..m.","Length..km.","Volume..m3.","Year.Completed","Years.Modified","Surface..km2.","Drainage..km2.","Spillway","Last.Inspection.Date","Inspection.Frequency","Distance.to.Nearest.City..km.","Hazard","Assessment","Assessment.Date","Probability.of.Failure","Loss.given.failure...prop..Qm.","Loss.given.failure...liab..Qm.","Loss.given.failure...BI..Qm.","Height_clean","Length_clean","Length_missing","Volume_clean","Volume_missing","Volume_log","n_modifications","last_modification_year"
"SOAD00072","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",0.02364,2.66329,"","11/08/2015","2",NA,"Significant","Satisfactory",NA,0.1258,20.8,296.9,8.1,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD00380","Navaldia","No","Unknow","Earth",2.713,NA,NA,"1927","",NA,NA,"","07/11/2018","5",NA,"High","Not Available",NA,0.0757,930.5,727.5,NA,2.713,NA,1,NA,1,NA,"0","Unknow"
"SOAD00610","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",NA,NA,"","","2",NA,"Significant","Satisfactory",NA,0.1375,355.5,427.3,8.6,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD02091","Lyndrassia","Yes","Recreation","Earth",13.921,0.2,NA,"1981","",0.04728,NA,"Uncontrolled","24/09/2021","3",16.43,"High","Not Rated",NA,0.0998,11.5,203,5.6,13.921,0.2,0,NA,1,NA,"0","Unknow"
"SOAD02227","Lyndrassia","Yes","Recreation","Earth",14.332,0.127,NA,"1998","",0.06107,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1283,11.5,733.7,8.2,14.332,0.127,0,NA,1,NA,"0","Unknow"
"SOAD02335","Lyndrassia","Yes","Recreation","Earth",12.526,0.17,NA,"Unknow","",0.04137,NA,"Uncontrolled","","Unknow",0,"High","Unsatisfactory",NA,0.1394,7.3,248.5,9.5,12.526,0.17,0,NA,1,NA,"0","Unknow"
"SOAD02906","Flumevale","Yes","Unknow","Earth",0,0.082,15650,"1947","",0.01773,NA,"","05/08/2020","1",0,"High","Not Available",NA,0.1355,30.6,651.4,NA,NA,0.082,0,15650,0,9.6582900916905,"0","Unknow"
"SOAD03530","Lyndrassia","Yes","Water Supply","Earth",26.547,0.933,NA,"Unknow","",19.1484,NA,"Uncontrolled","","Unknow",7.06,"High","",NA,0.0853,814.7,277.8,53.4,26.547,0.933,0,NA,1,NA,"0","Unknow"
"SOAD04339","Navaldia","Yes","Recreation","Earth",8.084,0.14,NA,"Unknow","",NA,2.66329,"","26/06/2017","2",NA,"Significant","Fair",NA,0.1198,463.4,228.2,5.1,8.084,0.14,0,NA,1,NA,"0","Unknow"
"SOAD04980","Navaldia","Yes","Flood Risk Reduction","Earth",0,NA,NA,"Unknow","",NA,NA,"","26/02/2021","1",NA,"High","Not Rated",NA,0.1131,874,743.5,NA,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD05158","Navaldia","Yes","Recreation","Earth",4.848,NA,NA,"Unknow","",0.00788,2.66329,"","02/03/2018","2",NA,"Significant","Fair",NA,0.1556,13.9,25.1,2.9,4.848,NA,1,NA,1,NA,"0","Unknow"
"SOAD05688","Navaldia","Yes","Irrigation","Earth",0,NA,NA,"Unknow","",NA,2.66329,"","03/03/2021","2",NA,"Significant","Satisfactory",NA,0.1126,106.2,189.6,47.1,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD05705","Flumevale","No","Recreation","Earth",8.746,0.1,15000,"1950","",NA,NA,"Uncontrolled","22/10/2015","5",83.19,"Significant","Not Rated",NA,0.1355,107,74.2,6.1,8.746,0.1,0,15000,0,9.61587214452889,"0","Unknow"
"SOAD06421","Lyndrassia","Yes","Recreation","Earth",18.441,0.15,NA,"2001","",0.0453099999999999,322.25809,"","","3",8.09,"High","Not Rated",NA,0.0837,27.3,278.2,8.1,18.441,0.15,0,NA,1,NA,"0","Unknow"
"SOAD07112","Flumevale","No","Irrigation","Earth",7.961,0.262,9180,"1918","",NA,NA,"Controlled","28/09/2015","5",NA,"Significant","Not Rated",NA,0.1108,219.6,160.6,38.9,7.961,0.262,0,9180,0,9.1248914101437,"0","Unknow"
"SOAD10567","Lyndrassia","Yes","Unknow","Earth",35.081,NA,0,"Unknow","",NA,NA,"","30/08/2011","0",2.35,"Significant","Satisfactory",2011-07-20,0.114,230.5,534.4,NA,35.081,NA,1,NA,1,NA,"0","Unknow"
"SOAD10770","Flumevale","No","Fish and Wildlife Pond","Earth",10.525,0.05,NA,"1875","",NA,NA,"Uncontrolled","26/02/2020","1",NA,"High","Not Rated",NA,0.1203,851.5,772.2,NA,10.525,0.05,0,NA,1,NA,"0","Unknow"
"SOAD11005","Navaldia","No","Flood Risk Reduction","Earth",16.88,2.235,2300000,"1966","",0,0,"","08/06/2022","5",NA,"High","Not Available",NA,0.0615,13.3,621.3,NA,16.88,2.235,0,2300000,0,14.6484201156819,"0","Unknow"
"SOAD11108","Flumevale","No","Flood Risk Reduction","Earth",6.122,0.307,NA,"2005","",NA,NA,"","11/09/2018","5",NA,"Significant","Not Available",NA,0.1411,256.9,461.9,NA,6.122,0.307,0,NA,1,NA,"0","Unknow"
"SOAD11302","Lyndrassia","Yes","Recreation","Earth",14.782,0.153,NA,"1996","",0.04925,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1387,30.2,611.4,5.5,14.782,0.153,0,NA,1,NA,"0","Unknow"
"SOAD11500","Lyndrassia","Yes","Unknow","Earth",15.276,NA,NA,"Unknow","",0.14381,NA,"","","Unknow",6.58,"High","Unsatisfactory",NA,0.1316,6.8,320.1,NA,15.276,NA,1,NA,1,NA,"0","Unknow"
"SOAD12360","Lyndrassia","Yes","Recreation","Earth",16.119,0.4,NA,"1982","",0.04728,NA,"Uncontrolled","","Unknow",0,"High","Unsatisfactory",NA,0.1421,30.9,948.3,6.5,16.119,0.4,0,NA,1,NA,"0","Unknow"
"SOAD12606","Lyndrassia","Yes","Irrigation","Earth",15.807,0.317,NA,"2003","",0.44916,NA,"Uncontrolled","07/09/2021","3",87.32,"High","Not Rated",NA,0.1011,141.8,215.8,26.2,15.807,0.317,0,NA,1,NA,"0","Unknow"
"SOAD12607","Lyndrassia","Yes","Recreation","Earth",17.347,NA,NA,"Unknow","",0.06895,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1338,7.6,732.8,4.3,17.347,NA,1,NA,1,NA,"0","Unknow"
"SOAD13714","Lyndrassia","Yes","Recreation","Earth",14.26,0.167,NA,"1988","",0.06304,NA,"Uncontrolled","","3",NA,"High","Unsatisfactory",NA,0.1413,39.5,576.5,3.6,14.26,0.167,0,NA,1,NA,"0","Unknow"
"SOAD14020","Lyndrassia","Yes","Recreation","Earth",13.282,0.145,NA,"Unknow","",0.0394,NA,"Uncontrolled","","Unknow",21.46,"High","Unsatisfactory",NA,0.1369,17.8,250.2,6.5,13.282,0.145,0,NA,1,NA,"0","Unknow"
"SOAD14437","Navaldia","Yes","Unknow","Earth",9.103,0.067,NA,"1964","",NA,5.32658,"","19/12/2018","2",NA,"Significant","Fair",NA,0.1439,333.9,179.7,NA,9.103,0.067,0,NA,1,NA,"0","Unknow"
"SOAD14661","Lyndrassia","Yes","Recreation","Earth",14.285,NA,NA,"Unknow","",0.08668,NA,"","","Unknow",NA,"High","Unsatisfactory",NA,0.1388,10,755.7,3.7,14.285,NA,1,NA,1,NA,"0","Unknow"
"SOAD14832","Lyndrassia","Yes","Recreation","Earth",13.691,0.225,NA,"2002","",0.17336,NA,"Uncontrolled","","3",NA,"High","Unsatisfactory",NA,0.1534,26,495.2,5.2,13.691,0.225,0,NA,1,NA,"0","Unknow"
"SOAD15410","Navaldia","Yes","Other","Earth",0,NA,NA,"Unknow","",NA,10.65316,"","16/03/2021","2",NA,"Significant","Poor",NA,0.1527,39.4,421.5,NA,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD15761","Lyndrassia","No","Recreation","Earth",40.912,0.162,294000,"1981","",NA,NA,"Uncontrolled","25/04/2021","1",17.39,"High","Satisfactory",2019-10-11,0.0874,910.7,208.7,4.1,40.912,0.162,0,294000,0,12.5913384476756,"0","Unknow"
"SOAD16079","Lyndrassia","Yes","Recreation","Earth",13.32,0.197,NA,"Unknow","",0.03349,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1325,15.9,952.6,7.6,13.32,0.197,0,NA,1,NA,"0","Unknow"
"SOAD16467","Lyndrassia","Yes","Recreation","Earth",13.752,0.15,NA,"1981","",0.06304,NA,"Uncontrolled","","3",NA,"High","Unsatisfactory",NA,0.1381,33.2,932.1,8.7,13.752,0.15,0,NA,1,NA,"0","Unknow"
"SOAD16854","Lyndrassia","Yes","Recreation","Earth",13.08,0.292,NA,"1986","",0.05516,NA,"Uncontrolled","","Unknow",13.52,"High","Unsatisfactory",NA,0.1368,18.2,454.3,6.7,13.08,0.292,0,NA,1,NA,"0","Unknow"
"SOAD17206","Lyndrassia","Yes","Other","Earth",12.642,0.133,NA,"2002","",0.08077,NA,"Uncontrolled","07/09/2021","3",NA,"High","Not Rated",NA,0.0951,27.1,863.9,NA,12.642,0.133,0,NA,1,NA,"0","Unknow"
"SOAD17553","Navaldia","Yes","Recreation","Earth",3.419,NA,NA,"Unknow","",NA,2.66329,"","","2",NA,"Significant","Not Rated",NA,0.1362,271.6,123.8,5.6,3.419,NA,1,NA,1,NA,"0","Unknow"
"SOAD17601","Lyndrassia","Yes","Recreation","Earth",14.216,0.175,NA,"2012","",0.03743,NA,"Uncontrolled","","Unknow",1.54,"High","Unsatisfactory",NA,0.1175,12.7,552.7,9.5,14.216,0.175,0,NA,1,NA,"0","Unknow"
"SOAD18020","Lyndrassia","Yes","Unknow","Earth",28.472,NA,0,"Unknow","",NA,NA,"","30/08/2011","0",2.43,"Significant","Satisfactory",2011-07-20,0.1325,375.1,318.3,NA,28.472,NA,1,NA,1,NA,"0","Unknow"
"SOAD18122","Flumevale","No","Other","Earth",13.878,0.073,NA,"1949","",NA,NA,"Uncontrolled","26/02/2020","1",0.16,"High","Not Rated",NA,0.102,925.1,619.9,NA,13.878,0.073,0,NA,1,NA,"0","Unknow"
"SOAD18532","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",NA,NA,"","","2",NA,"Significant","Not Rated",NA,0.1365,429.3,42.4,3,NA,NA,1,NA,1,NA,"0","Unknow"
"SOAD19679","Lyndrassia","Yes","Recreation","Earth",14.637,0.225,NA,"Unknow","2008",0.11426,NA,"Uncontrolled","","3",4.94,"High","Not Rated",NA,0.111,30.4,927.7,4.9,14.637,0.225,0,NA,1,NA,"1","2008"
"SOAD14594","Navaldia","Yes","Recreation","Earth",2.825,0.067,NA,"Unknow","",0.06501,13.31645,"","05/12/2018","2",NA,"Significant","Poor",NA,0.1398,6.7,235.1,5.2,2.825,0.067,0,NA,1,NA,"0","Unknow"
"SOAD19425","Flumevale","No","Flood Risk Reduction","Earth",27.419,0.347,220000,"1971","",0.00788,NA,"","06/07/2023","1",6.32,"High","Satisfactory",2023-09-29,0.1104,16.4,201.5,NA,27.419,0.347,0,220000,0,12.3013873707787,"0","Unknow"
"SOAD02827","Navaldia","Yes","Recreation","Earth",3.001,0.163,5550,"Unknow","",0.00591,0,"Uncontrolled","15/03/2023","Unknow",NA,"High","Fair",2023-08-15,0.0916,40.3,690.1,4.6,3.001,0.163,0,5550,0,8.62173337069016,"0","Unknow"
"SOAD04177","Navaldia","Yes","Flood Risk Reduction","Earth",7.397,0.025,NA,"1999","2005H",NA,2.66329,"","29/11/2018","2",NA,"Significant","Satisfactory",NA,0.121,185.5,218.2,NA,7.397,0.025,0,NA,1,NA,"1","2005"
"SOAD10896","Navaldia","Yes","Recreation","Earth",3.556,0.06,NA,"1973","",0.00394,2.66329,"","17/11/2017","2",NA,"Significant","Satisfactory",NA,0.1378,28.1,103.3,4.6,3.556,0.06,0,NA,1,NA,"0","Unknow"
"SOAD12764","Lyndrassia","Yes","Flood Risk Reduction","Earth",13.925,0.1,30000,"1989","1989",0.00788,0,"Uncontrolled","14/05/2020","2",7.74,"High","Satisfactory",2007-12-19,0.0905,10.8,129.6,NA,13.925,0.1,0,30000,0,10.3089859934221,"1","1989"
"SOAD17150","Navaldia","Yes","Flood Risk Reduction","Earth",6.819,0.067,NA,"1948","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair",2021-04-01,0.0985,39.2,851.5,NA,6.819,0.067,0,NA,1,NA,"0","Unknow"
"SOAD17354","Navaldia","Yes","Unknow","Earth",10.606,0.053,NA,"2008","",0.02364,0,"Uncontrolled","15/06/2022","5",1.67,"Significant","Fair",2022-08-25,0.1097,8,865.3,NA,10.606,0.053,0,NA,1,NA,"0","Unknow"
"SOAD02782","Navaldia","Yes","Flood Risk Reduction","Earth",4.227,0.083,NA,"1991","",0.00591,2.66329,"","25/04/2019","2",NA,"Significant","Fair",NA,0.1357,47.1,418.9,NA,4.227,0.083,0,NA,1,NA,"0","Unknow"
"SOAD14624","Navaldia","Yes","Flood Risk Reduction","Earth",3.41,0.063,NA,"1985","",NA,2.66329,"","14/04/2020","2",NA,"Significant","Fair",NA,0.1433,373.8,255.4,NA,3.41,0.063,0,NA,1,NA,"0","Unknow"
"SOAD15975","Navaldia","No","Unknow","Earth",5.836,0.027,NA,"Unknow","",0.00394,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated",2014-08-18,0.1649,13.3,322.8,NA,5.836,0.027,0,NA,1,NA,"0","Unknow"
"SOAD00979","Lyndrassia","Yes","Recreation","Earth",14.781,0.108,NA,"1996","",NA,NA,"","","Unknow",1.69,"High","",NA,0.1556,479.6,579.1,6.2,14.781,0.108,0,NA,1,NA,"0","Unknow"
"SOAD03833","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.977,0.115,2773,"1983","1996",0.00788,0,"Uncontrolled","18/06/2020","2",11.26,"Significant","Satisfactory",2020-06-18,0.1354,39.8,121.9,NA,3.977,0.115,0,2773,0,7.92804560087478,"1","1996"
"SOAD09276","Lyndrassia","Yes","Other","Earth",22.852,0.1,43000,"1993","1997",0.00788,0,"Uncontrolled","19/01/2023","2",NA,"Significant","Satisfactory",2007-12-21,0.114,35.1,293.8,NA,22.852,0.1,0,43000,0,10.6689786502192,"1","1997"
"SOAD13160","Navaldia","Yes","Unknow","Earth",2.784,0.133,NA,"Unknow","",0.01379,0,"Uncontrolled","07/12/2021","2",1.61,"High","Poor",2022-03-17,0.1141,36.1,107.1,NA,2.784,0.133,0,NA,1,NA,"0","Unknow"
"SOAD14182","Flumevale","No","Tailings","Earth",8.658,0.267,NA,"Unknow","",NA,NA,"","","Unknow",4.75,"High","Not Available",NA,0.1235,844.9,374.4,NA,8.658,0.267,0,NA,1,NA,"0","Unknow"
"SOAD14607","Navaldia","No","Unknow","Earth",5.355,0.123,NA,"1965","",0.00788,0,"Uncontrolled","17/10/2007","Unknow",NA,"Significant","Not Rated",2014-06-18,0.1451,7.9,446.3,NA,5.355,0.123,0,NA,1,NA,"0","Unknow"
"SOAD15607","Navaldia","Yes","Flood Risk Reduction","Earth",6.12,0.04,NA,"1992","",NA,2.66329,"","19/07/2019","2",NA,"Significant","Satisfactory",NA,0.1106,186.3,161.6,NA,6.12,0.04,0,NA,1,NA,"0","Unknow"
"SOAD18799","Navaldia","Yes","Flood Risk Reduction","Earth",3.336,0.123,NA,"Unknow","",NA,2.66329,"","04/12/2020","1",NA,"High","Satisfactory",NA,0.1017,532.3,925.3,NA,3.336,0.123,0,NA,1,NA,"0","Unknow"
"SOAD01460","Navaldia","Yes","Unknow","Earth",9.399,0.133,NA,"1948","",0,2.66329,"Uncontrolled","12/02/2020","2",NA,"High","Poor",2021-03-31,0.13,41.8,596.3,NA,9.399,0.133,0,NA,1,NA,"0","Unknow"
"SOAD02312","Flumevale","No","Other","Earth",10.679,0.08,NA,"Unknow","",NA,NA,"","","Unknow",1.67,"Significant","Not Available",NA,0.1661,306.3,365.5,NA,10.679,0.08,0,NA,1,NA,"0","Unknow"
"SOAD07202","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",4.746,0.11,NA,"1990","1991S",0.00788,0,"Uncontrolled","08/07/2009","5",NA,"Significant","Not Rated",2014-07-08,0.0923,19,308.6,NA,4.746,0.11,0,NA,1,NA,"1","1991"
