ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,,,,,0.02364,2.66329,,11/08/2015,2.0,,Significant,Satisfactory,,0.1258,20.8,296.9,8.1,,,1,,1,,0.0,
SOAD00380,Navaldia,No,Unknow,Earth,2.713,,,1927.0,,,,,07/11/2018,5.0,,High,Not Available,,0.0757,930.5,727.5,,2.713,,1,,1,,0.0,
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Satisfactory,,0.1375,355.5,427.3,8.6,,,1,,1,,0.0,
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,,1981.0,,0.04728,,Uncontrolled,24/09/2021,3.0,16.43,High,Not Rated,,0.0998,11.5,203.0,5.6,13.921,0.2,0,,1,,0.0,
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,,1998.0,,0.06107,,Uncontrolled,,,,High,Unsatisfactory,,0.1283,11.5,733.7,8.2,14.332,0.127,0,,1,,0.0,
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,,,,0.04137,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1394,7.3,248.5,9.5,12.526,0.17,0,,1,,0.0,
SOAD02906,Flumevale,Yes,Unknow,Earth,0.0,0.082,15650.0,1947.0,,0.01773,,,05/08/2020,1.0,0.0,High,Not Available,,0.1355,30.6,651.4,,,0.082,0,15650.0,0,9.658290091690503,0.0,
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,,,,19.1484,,Uncontrolled,,,7.06,High,,,0.0853,814.7,277.8,53.4,26.547,0.933,0,,1,,0.0,
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,,,,,2.66329,,26/06/2017,2.0,,Significant,Fair,,0.1198,463.4,228.2,5.1,8.084,0.14,0,,1,,0.0,
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,,,,,,,,26/02/2021,1.0,,High,Not Rated,,0.1131,874.0,743.5,,,,1,,1,,0.0,
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,,,,,0.00788,2.66329,,02/03/2018,2.0,,Significant,Fair,,0.1556,13.9,25.1,2.9,4.848,,1,,1,,0.0,
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,,,,,,2.66329,,03/03/2021,2.0,,Significant,Satisfactory,,0.1126,106.2,189.6,47.1,,,1,,1,,0.0,
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,,,,Uncontrolled,22/10/2015,5.0,83.19,Significant,Not Rated,,0.1355,107.0,74.2,6.1,8.746,0.1,0,15000.0,0,9.61587214452889,0.0,
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,,2001.0,,0.0453099999999999,322.25809,,,3.0,8.09,High,Not Rated,,0.0837,27.3,278.2,8.1,18.441,0.15,0,,1,,0.0,
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,,,,Controlled,28/09/2015,5.0,,Significant,Not Rated,,0.1108,219.6,160.6,38.9,7.961,0.262,0,9180.0,0,9.1248914101437,0.0,
SOAD10567,Lyndrassia,Yes,Unknow,Earth,35.081,,0.0,,,,,,30/08/2011,0.0,2.35,Significant,Satisfactory,20/07/2011,0.114,230.5,534.4,,35.081,,1,,1,,0.0,
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,,1875.0,,,,Uncontrolled,26/02/2020,1.0,,High,Not Rated,,0.1203,851.5,772.2,,10.525,0.05,0,,1,,0.0,
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,,0.0,0.0,,08/06/2022,5.0,,High,Not Available,,0.0615,13.3,621.3,,16.88,2.235,0,2300000.0,0,14.648420115681892,0.0,
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,,2005.0,,,,,11/09/2018,5.0,,Significant,Not Available,,0.1411,256.9,461.9,,6.122,0.307,0,,1,,0.0,
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,,1996.0,,0.04925,,Uncontrolled,,,,High,Unsatisfactory,,0.1387,30.2,611.4,5.5,14.782,0.153,0,,1,,0.0,
SOAD11500,Lyndrassia,Yes,Unknow,Earth,15.276,,,,,0.14381,,,,,6.58,High,Unsatisfactory,,0.1316,6.8,320.1,,15.276,,1,,1,,0.0,
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,,1982.0,,0.04728,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1421,30.9,948.3,6.5,16.119,0.4,0,,1,,0.0,
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,,2003.0,,0.44916,,Uncontrolled,07/09/2021,3.0,87.32,High,Not Rated,,0.1011,141.8,215.8,26.2,15.807,0.317,0,,1,,0.0,
SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,,,,,0.06895,,Uncontrolled,,,,High,Unsatisfactory,,0.1338,7.6,732.8,4.3,17.347,,1,,1,,0.0,
SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,,1988.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1413,39.5,576.5,3.6,14.26,0.167,0,,1,,0.0,
SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,,,,0.0394,,Uncontrolled,,,21.46,High,Unsatisfactory,,0.1369,17.8,250.2,6.5,13.282,0.145,0,,1,,0.0,
SOAD14437,Navaldia,Yes,Unknow,Earth,9.103,0.067,,1964.0,,,5.32658,,19/12/2018,2.0,,Significant,Fair,,0.1439,333.9,179.7,,9.103,0.067,0,,1,,0.0,
SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,,,,,0.08668,,,,,,High,Unsatisfactory,,0.1388,10.0,755.7,3.7,14.285,,1,,1,,0.0,
SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,,2002.0,,0.17336,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1534,26.0,495.2,5.2,13.691,0.225,0,,1,,0.0,
SOAD15410,Navaldia,Yes,Other,Earth,0.0,,,,,,10.65316,,16/03/2021,2.0,,Significant,Poor,,0.1527,39.4,421.5,,,,1,,1,,0.0,
SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,1981.0,,,,Uncontrolled,25/04/2021,1.0,17.39,High,Satisfactory,11/10/2019,0.0874,910.7,208.7,4.1,40.912,0.162,0,294000.0,0,12.591338447675579,0.0,
SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,,,,0.03349,,Uncontrolled,,,,High,Unsatisfactory,,0.1325,15.9,952.6,7.6,13.32,0.197,0,,1,,0.0,
SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,,1981.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1381,33.2,932.1,8.7,13.752,0.15,0,,1,,0.0,
SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,,1986.0,,0.05516,,Uncontrolled,,,13.52,High,Unsatisfactory,,0.1368,18.2,454.3,6.7,13.08,0.292,0,,1,,0.0,
SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,,2002.0,,0.08077,,Uncontrolled,07/09/2021,3.0,,High,Not Rated,,0.0951,27.1,863.9,,12.642,0.133,0,,1,,0.0,
SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,,,,,,2.66329,,,2.0,,Significant,Not Rated,,0.1362,271.6,123.8,5.6,3.419,,1,,1,,0.0,
SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,,2012.0,,0.03743,,Uncontrolled,,,1.54,High,Unsatisfactory,,0.1175,12.7,552.7,9.5,14.216,0.175,0,,1,,0.0,
SOAD18020,Lyndrassia,Yes,Unknow,Earth,28.472,,0.0,,,,,,30/08/2011,0.0,2.43,Significant,Satisfactory,20/07/2011,0.1325,375.1,318.3,,28.472,,1,,1,,0.0,
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,,1949.0,,,,Uncontrolled,26/02/2020,1.0,0.16,High,Not Rated,,0.102,925.1,619.9,,13.878,0.073,0,,1,,0.0,
SOAD18532,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1365,429.3,42.4,3.0,,,1,,1,,0.0,
