"ID","Region","Regulated.Dam","Primary.Purpose","Primary.Type","Height..m.","Length..km.","Volume..m3.","Year.Completed","Years.Modified","Surface..km2.","Drainage..km2.","Spillway","Last.Inspection.Date","Inspection.Frequency","Distance.to.Nearest.City..km.","Hazard","Assessment","Assessment.Date","Probability.of.Failure","Loss.given.failure...prop..Qm.","Loss.given.failure...liab..Qm.","Loss.given.failure...BI..Qm.","Height_clean","Length_clean","Length_missing","Volume_clean","Volume_missing","Volume_log","n_modifications","last_modification_year"
"SOAD02906","Flumevale","Yes","Unknow","Earth",0,0.082,15650,"1947","",0.01773,NA,"","05/08/2020","1",0,"High","Not Available",NA,0.1355,30.6,651.4,NA,NA,0.082,0,15650,0,9.6582900916905,0,"Unknow"
"SOAD05705","Flumevale","No","Recreation","Earth",8.746,0.1,15000,"1950","",NA,NA,"Uncontrolled","22/10/2015","5",83.19,"Significant","Not Rated",NA,0.1355,107,74.2,6.1,8.746,0.1,0,15000,0,9.61587214452889,0,"Unknow"
"SOAD07112","Flumevale","No","Irrigation","Earth",7.961,0.262,9180,"1918","",NA,NA,"Controlled","28/09/2015","5",NA,"Significant","Not Rated",NA,0.1108,219.6,160.6,38.9,7.961,0.262,0,9180,0,9.1248914101437,0,"Unknow"
"SOAD10770","Flumevale","No","Fish and Wildlife Pond","Earth",10.525,0.05,NA,"1875","",NA,NA,"Uncontrolled","26/02/2020","1",NA,"High","Not Rated",NA,0.1203,851.5,772.2,NA,10.525,0.05,0,NA,1,NA,0,"Unknow"
"SOAD11108","Flumevale","No","Flood Risk Reduction","Earth",6.122,0.307,NA,"2005","",NA,NA,"","11/09/2018","5",NA,"Significant","Not Available",NA,0.1411,256.9,461.9,NA,6.122,0.307,0,NA,1,NA,0,"Unknow"
"SOAD18122","Flumevale","No","Other","Earth",13.878,0.073,NA,"1949","",NA,NA,"Uncontrolled","26/02/2020","1",0.16,"High","Not Rated",NA,0.102,925.1,619.9,NA,13.878,0.073,0,NA,1,NA,0,"Unknow"
"SOAD19425","Flumevale","No","Flood Risk Reduction","Earth",27.419,0.347,220000,"1971","",0.00788,NA,"","06/07/2023","1",6.32,"High","Satisfactory","2023-09-29",0.1104,16.4,201.5,NA,27.419,0.347,0,220000,0,12.3013873707787,0,"Unknow"
"SOAD03833","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.977,0.115,2773,"1983","1996",0.00788,0,"Uncontrolled","18/06/2020","2",11.26,"Significant","Satisfactory","2020-06-18",0.1354,39.8,121.9,NA,3.977,0.115,0,2773,0,7.92804560087478,1,"1996"
"SOAD14182","Flumevale","No","Tailings","Earth",8.658,0.267,NA,"Unknow","",NA,NA,"","","Unknow",4.75,"High","Not Available",NA,0.1235,844.9,374.4,NA,8.658,0.267,0,NA,1,NA,0,"Unknow"
"SOAD02312","Flumevale","No","Other","Earth",10.679,0.08,NA,"Unknow","",NA,NA,"","","Unknow",1.67,"Significant","Not Available",NA,0.1661,306.3,365.5,NA,10.679,0.08,0,NA,1,NA,0,"Unknow"
"SOAD01247","Flumevale","No","Water Supply","Earth",7.299,0.253,NA,"Unknow","",NA,NA,"","","Unknow",1.67,"Significant","Not Available",NA,0.1451,312.7,887.2,47.5,7.299,0.253,0,NA,1,NA,0,"Unknow"
"SOAD11867","Flumevale","Yes","Water Supply","Earth",4.43,0.083,NA,"1999","2000",0.00788,0,"Uncontrolled","24/05/2013","2",11.38,"Significant","Fair","2013-05-24",0.1314,18.3,151.7,15,4.43,0.083,0,NA,1,NA,1,"2000"
"SOAD15152","Flumevale","Yes","Flood Risk Reduction","Earth",11.071,0.095,21140,"2005","",0.00788,0,"Uncontrolled","17/09/2020","1",NA,"High","Fair","2020-09-17",0.1114,43.7,816.2,NA,11.071,0.095,0,21140,0,9.95896956199513,0,"Unknow"
"SOAD02714","Flumevale","No","Water Supply","Earth",13.753,0.033,NA,"Unknow","",NA,NA,"","","Unknow",7.67,"High","Not Available",NA,0.1083,672.7,452.4,51.7,13.753,0.033,0,NA,1,NA,0,"Unknow"
"SOAD05372","Flumevale","Yes","Irrigation","Earth",5.634,0.08,3550,"1960","",0.00788,7.98987,"Uncontrolled","21/06/2021","2",16.56,"Significant","Fair","2021-06-21",0.1503,8.1,260.9,24.6,5.634,0.08,0,3550,0,8.17498453294309,0,"Unknow"
"SOAD11286","Flumevale","Yes","Recreation","Earth",3.498,0.133,NA,"1966","",0.00788,7.98987,"Uncontrolled","29/08/2022","2",1.59,"Significant","Fair","2022-08-29",0.1333,11.7,704.8,4.9,3.498,0.133,0,NA,1,NA,0,"Unknow"
"SOAD03788","Flumevale","Yes","Recreation","Earth",2.778,0.1,698,"1933","",0.01773,7.98987,"Uncontrolled","24/08/2022","2",0,"Significant","Satisfactory","2022-08-24",0.1303,43.8,343.5,5.8,2.778,0.1,0,698,0,6.54965074223381,0,"Unknow"
"SOAD08746","Flumevale","Yes","Flood Risk Reduction","Earth",13.48,0.12,8900,"2005","",0.00788,0,"Uncontrolled","17/09/2020","1",0,"High","Fair","2020-09-17",0.0965,8.6,531.1,NA,13.48,0.12,0,8900,0,9.09391890895893,0,"Unknow"
"SOAD10234","Flumevale","Yes","Water Supply","Earth",7.349,0.06,NA,"2007","2016",0.00788,0,"Uncontrolled","28/09/2021","2",3.35,"Significant","Satisfactory","2021-09-28",0.1222,33.1,879.3,54.1,7.349,0.06,0,NA,1,NA,1,"2016"
"SOAD12835","Flumevale","Yes","Water Supply","Earth",7.45,0.093,7400,"1964","2011H",0.00788,0,"Uncontrolled","05/05/2021","2",4.63,"Significant","Satisfactory","2021-05-05",0.1031,39.9,162.8,46.6,7.45,0.093,0,7400,0,8.90937040519747,1,"2011"
"SOAD01805","Flumevale","No","Debris Control","Earth",24.241,0.167,0,"1938","",0.00788,13.31645,"Uncontrolled","18/05/2022","5",NA,"High","Not Available",NA,0.078,32.3,681.5,NA,24.241,0.167,0,NA,1,NA,0,"Unknow"
"SOAD13805","Flumevale","No","Fish and Wildlife Pond","Earth",4.377,0.058,2461,"1934","",0,0,"Uncontrolled","18/08/2010","Unknow",25.04,"Significant","Not Rated",NA,0.1194,5,123.9,NA,4.377,0.058,0,2461,0,7.8087293067444,0,"Unknow"
"SOAD03137","Flumevale","Yes","Hydroelectric","Earth",9.44,0.136,NA,"1983","",0.0197,NA,"","11/09/2019","2",NA,"Low","Satisfactory","2023-04-11",0.0644,15,8.5,NA,9.44,0.136,0,NA,1,NA,0,"Unknow"
"SOAD18509","Flumevale","Yes","Recreation","Earth",5.384,0.193,NA,"Unknow","",0.01576,0,"","16/11/2021","2",6.48,"Significant","Satisfactory","2021-11-16",0.1246,38.9,358.6,4.3,5.384,0.193,0,NA,1,NA,0,"Unknow"
"SOAD10593","Flumevale","Yes","Unknow","Earth",8.948,0.16,NA,"1953","",0.03349,45.27593,"Uncontrolled","13/07/2018","6",1.61,"Low","Unsatisfactory","2011-05-18",0.0936,5.4,953.9,NA,8.948,0.16,0,NA,1,NA,0,"Unknow"
"SOAD12130","Flumevale","Yes","Irrigation","Earth",13.105,0.1,0,"1990","",0.01576,NA,"","21/02/2023","1",NA,"Significant","Fair","2017-09-01",0.1522,46.3,199,9.4,13.105,0.1,0,NA,1,NA,0,"Unknow"
