ID,Region,Regulated.Dam,Primary.Purpose,Primary.Type,Height..m.,Length..km.,Volume..m3.,Year.Completed,Years.Modified,Surface..km2.,Drainage..km2.,Spillway,Last.Inspection.Date,Inspection.Frequency,Distance.to.Nearest.City..km.,Hazard,Assessment,Assessment.Date,Probability.of.Failure,Loss.given.failure...prop..Qm.,Loss.given.failure...liab..Qm.,Loss.given.failure...BI..Qm.,Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year,Height..m._missing,Length..km._missing,Volume..m3._missing,Drainage..km2._missing,Surface..km2._missing,Distance.to.Nearest.City..km._missing
SOAD02906,Flumevale,Yes,Unknow,Earth,10.731485326055509,0.082,15650.0,1947,,0.01773,31.87653237996222,,05/08/2020,1,0.0,High,Not Available,,0.1355,30.6,651.4,20.284086148314113,,0.082,0,15650.0,0,9.6582900916905,0,Unknow,1,0,0,1,0,0
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950,,0.5458120043374093,100.19999169984011,Uncontrolled,22/10/2015,5,83.19,Significant,Not Rated,,0.1355,107.0,74.2,6.1,8.746,0.1,0,15000.0,0,9.61587214452889,0,Unknow,0,0,0,1,1,0
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918,,0.5641098134986925,95.44316467299062,Controlled,28/09/2015,5,25.285731808019854,Significant,Not Rated,,0.1108,219.6,160.6,38.9,7.961,0.262,0,9180.0,0,9.1248914101437,0,Unknow,0,0,0,1,1,1
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,52521.1259051468,1875,,27.68844016730051,709.8150809445893,Uncontrolled,26/02/2020,1,1.873232782484948,High,Not Rated,,0.1203,851.5,772.2,18.04711350354907,10.525,0.05,0,,1,,0,Unknow,0,0,1,1,1,1
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,24934.179650812363,2005,,0.6088083235242734,96.97785261718062,,11/09/2018,5,11.49447599930191,Significant,Not Available,,0.1411,256.9,461.9,20.637925816445797,6.122,0.307,0,,1,,0,Unknow,0,0,1,1,1,1
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,67055.79650021413,1949,,25.026330148472326,703.2499068827814,Uncontrolled,26/02/2020,1,0.16,High,Not Rated,,0.102,925.1,619.9,18.970800005693768,13.878,0.073,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971,,0.00788,83.5361065310492,,06/07/2023,1,6.32,High,Satisfactory,2023-09-29,0.1104,16.4,201.5,15.30620293701443,27.419,0.347,0,220000.0,0,12.3013873707787,0,Unknow,0,0,0,1,0,0
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983,1996,0.00788,264.78101894395434,Uncontrolled,18/06/2020,2,11.26,Significant,Satisfactory,2020-06-18,0.1354,39.8,121.9,17.634306416084186,3.977,0.115,0,2773.0,0,7.92804560087478,1,1996,0,0,0,1,0,0
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,27926.031922358095,Unknow,,6.122549206925403,317.20189173406357,,,Unknow,4.75,High,Not Available,,0.1235,844.9,374.4,17.01565956333216,8.658,0.267,0,,1,,0,Unknow,0,0,1,1,1,0
SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,21140.888306382094,Unknow,,0.7401049170753207,298.52392344756646,,,Unknow,1.67,Significant,Not Available,,0.1661,306.3,365.5,18.255063647817696,10.679,0.08,0,,1,,0,Unknow,0,0,1,1,1,0
