"ID","Region","Regulated.Dam","Primary.Purpose","Primary.Type","Height..m.","Length..km.","Volume..m3.","Year.Completed","Years.Modified","Surface..km2.","Drainage..km2.","Spillway","Last.Inspection.Date","Inspection.Frequency","Distance.to.Nearest.City..km.","Hazard","Assessment","Assessment.Date","Probability.of.Failure","Loss.given.failure...prop..Qm.","Loss.given.failure...liab..Qm.","Loss.given.failure...BI..Qm.","Height_clean","Length_clean","Length_missing","Volume_clean","Volume_missing","Volume_log","n_modifications","last_modification_year"
"SOAD02091","Lyndrassia","Yes","Recreation","Earth",13.921,0.2,NA,"1981","",0.04728,NA,"Uncontrolled","24/09/2021","3",16.43,"High","Not Rated",NA,0.0998,11.5,203,5.6,13.921,0.2,0,NA,1,NA,0,"Unknow"
"SOAD02227","Lyndrassia","Yes","Recreation","Earth",14.332,0.127,NA,"1998","",0.06107,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1283,11.5,733.7,8.2,14.332,0.127,0,NA,1,NA,0,"Unknow"
"SOAD02335","Lyndrassia","Yes","Recreation","Earth",12.526,0.17,NA,"Unknow","",0.04137,NA,"Uncontrolled","","Unknow",0,"High","Unsatisfactory",NA,0.1394,7.3,248.5,9.5,12.526,0.17,0,NA,1,NA,0,"Unknow"
"SOAD03530","Lyndrassia","Yes","Water Supply","Earth",26.547,0.933,NA,"Unknow","",19.1484,NA,"Uncontrolled","","Unknow",7.06,"High","",NA,0.0853,814.7,277.8,53.4,26.547,0.933,0,NA,1,NA,0,"Unknow"
"SOAD06421","Lyndrassia","Yes","Recreation","Earth",18.441,0.15,NA,"2001","",0.0453099999999999,322.25809,"","","3",8.09,"High","Not Rated",NA,0.0837,27.3,278.2,8.1,18.441,0.15,0,NA,1,NA,0,"Unknow"
"SOAD10567","Lyndrassia","Yes","Unknow","Earth",35.081,NA,0,"Unknow","",NA,NA,"","30/08/2011","0",2.35,"Significant","Satisfactory","2011-07-20",0.114,230.5,534.4,NA,35.081,NA,1,NA,1,NA,0,"Unknow"
"SOAD11302","Lyndrassia","Yes","Recreation","Earth",14.782,0.153,NA,"1996","",0.04925,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1387,30.2,611.4,5.5,14.782,0.153,0,NA,1,NA,0,"Unknow"
"SOAD11500","Lyndrassia","Yes","Unknow","Earth",15.276,NA,NA,"Unknow","",0.14381,NA,"","","Unknow",6.58,"High","Unsatisfactory",NA,0.1316,6.8,320.1,NA,15.276,NA,1,NA,1,NA,0,"Unknow"
"SOAD12360","Lyndrassia","Yes","Recreation","Earth",16.119,0.4,NA,"1982","",0.04728,NA,"Uncontrolled","","Unknow",0,"High","Unsatisfactory",NA,0.1421,30.9,948.3,6.5,16.119,0.4,0,NA,1,NA,0,"Unknow"
"SOAD12606","Lyndrassia","Yes","Irrigation","Earth",15.807,0.317,NA,"2003","",0.44916,NA,"Uncontrolled","07/09/2021","3",87.32,"High","Not Rated",NA,0.1011,141.8,215.8,26.2,15.807,0.317,0,NA,1,NA,0,"Unknow"
"SOAD12607","Lyndrassia","Yes","Recreation","Earth",17.347,NA,NA,"Unknow","",0.06895,NA,"Uncontrolled","","Unknow",NA,"High","Unsatisfactory",NA,0.1338,7.6,732.8,4.3,17.347,NA,1,NA,1,NA,0,"Unknow"
"SOAD13714","Lyndrassia","Yes","Recreation","Earth",14.26,0.167,NA,"1988","",0.06304,NA,"Uncontrolled","","3",NA,"High","Unsatisfactory",NA,0.1413,39.5,576.5,3.6,14.26,0.167,0,NA,1,NA,0,"Unknow"
"SOAD14020","Lyndrassia","Yes","Recreation","Earth",13.282,0.145,NA,"Unknow","",0.0394,NA,"Uncontrolled","","Unknow",21.46,"High","Unsatisfactory",NA,0.1369,17.8,250.2,6.5,13.282,0.145,0,NA,1,NA,0,"Unknow"
"SOAD14661","Lyndrassia","Yes","Recreation","Earth",14.285,NA,NA,"Unknow","",0.08668,NA,"","","Unknow",NA,"High","Unsatisfactory",NA,0.1388,10,755.7,3.7,14.285,NA,1,NA,1,NA,0,"Unknow"
"SOAD14832","Lyndrassia","Yes","Recreation","Earth",13.691,0.225,NA,"2002","",0.17336,NA,"Uncontrolled","","3",NA,"High","Unsatisfactory",NA,0.1534,26,495.2,5.2,13.691,0.225,0,NA,1,NA,0,"Unknow"
"SOAD15761","Lyndrassia","No","Recreation","Earth",40.912,0.162,294000,"1981","",NA,NA,"Uncontrolled","25/04/2021","1",17.39,"High","Satisfactory","2019-10-11",0.0874,910.7,208.7,4.1,40.912,0.162,0,294000,0,12.5913384476756,0,"Unknow"
