ID,Region,Regulated.Dam,Primary.Purpose,Primary.Type,Height..m.,Length..km.,Volume..m3.,Year.Completed,Years.Modified,Surface..km2.,Drainage..km2.,Spillway,Last.Inspection.Date,Inspection.Frequency,Distance.to.Nearest.City..km.,Hazard,Assessment,Assessment.Date,Probability.of.Failure,Loss.given.failure...prop..Qm.,Loss.given.failure...liab..Qm.,Loss.given.failure...BI..Qm.,Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year,Height..m._missing,Length..km._missing,Volume..m3._missing,Drainage..km2._missing,Surface..km2._missing,Distance.to.Nearest.City..km._missing
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,61774.39008537991,1981,,0.04728,309.322600381572,Uncontrolled,24/09/2021,3,16.43,High,Not Rated,,0.0998,11.5,203.0,5.6,13.921,0.2,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,31071.452763220754,1998,,0.06107,784.8371652237813,Uncontrolled,,Unknow,0.9519360861134195,High,Unsatisfactory,,0.1283,11.5,733.7,8.2,14.332,0.127,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,47887.21696278793,Unknow,,0.04137,697.2785109645805,Uncontrolled,,Unknow,0.0,High,Unsatisfactory,,0.1394,7.3,248.5,9.5,12.526,0.17,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,951041.014029292,Unknow,,19.1484,1723.3592683332363,Uncontrolled,,Unknow,7.06,High,,,0.0853,814.7,277.8,53.4,26.547,0.933,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,53687.8928595331,2001,,0.0453099999999999,322.25809,,,3,8.09,High,Not Rated,,0.0837,27.3,278.2,8.1,18.441,0.15,0,,1,,0,Unknow,0,0,1,0,0,0
SOAD10567,Lyndrassia,Yes,Unknow,Earth,35.081,0.655723107036329,955781.5160923726,Unknow,,10.894083688616373,45833.44734679381,,30/08/2011,0,2.35,Significant,Satisfactory,2011-07-20,0.114,230.5,534.4,31.711179511195752,35.081,,1,,1,,0,Unknow,0,1,1,1,1,0
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,37221.66736797074,1996,,0.04925,866.9049721303942,Uncontrolled,,Unknow,1.1502945119428512,High,Unsatisfactory,,0.1387,30.2,611.4,5.5,14.782,0.153,0,,1,,0,Unknow,0,0,1,1,0,1
SOAD11500,Lyndrassia,Yes,Unknow,Earth,15.276,0.23484610307390985,106679.20076629905,Unknow,,0.14381,3337.612820945864,,,Unknow,6.58,High,Unsatisfactory,,0.1316,6.8,320.1,32.0062077752309,15.276,,1,,1,,0,Unknow,0,1,1,1,0,0
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,281565.087787193,1982,,0.04728,3513.556966647647,Uncontrolled,,Unknow,0.0,High,Unsatisfactory,,0.1421,30.9,948.3,6.5,16.119,0.4,0,,1,,0,Unknow,0,0,1,1,0,0
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,184907.2288116406,2003,,0.44916,83.03756918493981,Uncontrolled,07/09/2021,3,87.32,High,Not Rated,,0.1011,141.8,215.8,26.2,15.807,0.317,0,,1,,0,Unknow,0,0,1,1,0,0
