"ID","Region","Regulated.Dam","Primary.Purpose","Primary.Type","Height..m.","Length..km.","Volume..m3.","Year.Completed","Years.Modified","Surface..km2.","Drainage..km2.","Spillway","Last.Inspection.Date","Inspection.Frequency","Distance.to.Nearest.City..km.","Hazard","Assessment","Assessment.Date","Probability.of.Failure","Loss.given.failure...prop..Qm.","Loss.given.failure...liab..Qm.","Loss.given.failure...BI..Qm.","Height_clean","Length_clean","Length_missing","Volume_clean","Volume_missing","Volume_log","n_modifications","last_modification_year"
"SOAD00072","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",0.02364,2.66329,"","11/08/2015","2",NA,"Significant","Satisfactory",NA,0.1258,20.8,296.9,8.1,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD00380","Navaldia","No","Unknow","Earth",2.713,NA,NA,"1927","",NA,NA,"","07/11/2018","5",NA,"High","Not Available",NA,0.0757,930.5,727.5,NA,2.713,NA,1,NA,1,NA,0,"Unknow"
"SOAD00610","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",NA,NA,"","","2",NA,"Significant","Satisfactory",NA,0.1375,355.5,427.3,8.6,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD04339","Navaldia","Yes","Recreation","Earth",8.084,0.14,NA,"Unknow","",NA,2.66329,"","26/06/2017","2",NA,"Significant","Fair",NA,0.1198,463.4,228.2,5.1,8.084,0.14,0,NA,1,NA,0,"Unknow"
"SOAD04980","Navaldia","Yes","Flood Risk Reduction","Earth",0,NA,NA,"Unknow","",NA,NA,"","26/02/2021","1",NA,"High","Not Rated",NA,0.1131,874,743.5,NA,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD05158","Navaldia","Yes","Recreation","Earth",4.848,NA,NA,"Unknow","",0.00788,2.66329,"","02/03/2018","2",NA,"Significant","Fair",NA,0.1556,13.9,25.1,2.9,4.848,NA,1,NA,1,NA,0,"Unknow"
"SOAD05688","Navaldia","Yes","Irrigation","Earth",0,NA,NA,"Unknow","",NA,2.66329,"","03/03/2021","2",NA,"Significant","Satisfactory",NA,0.1126,106.2,189.6,47.1,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD11005","Navaldia","No","Flood Risk Reduction","Earth",16.88,2.235,2300000,"1966","",0,0,"","08/06/2022","5",NA,"High","Not Available",NA,0.0615,13.3,621.3,NA,16.88,2.235,0,2300000,0,14.6484201156819,0,"Unknow"
"SOAD14437","Navaldia","Yes","Unknow","Earth",9.103,0.067,NA,"1964","",NA,5.32658,"","19/12/2018","2",NA,"Significant","Fair",NA,0.1439,333.9,179.7,NA,9.103,0.067,0,NA,1,NA,0,"Unknow"
"SOAD15410","Navaldia","Yes","Other","Earth",0,NA,NA,"Unknow","",NA,10.65316,"","16/03/2021","2",NA,"Significant","Poor",NA,0.1527,39.4,421.5,NA,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD17553","Navaldia","Yes","Recreation","Earth",3.419,NA,NA,"Unknow","",NA,2.66329,"","","2",NA,"Significant","Not Rated",NA,0.1362,271.6,123.8,5.6,3.419,NA,1,NA,1,NA,0,"Unknow"
"SOAD18532","Navaldia","Yes","Recreation","Earth",0,NA,NA,"Unknow","",NA,NA,"","","2",NA,"Significant","Not Rated",NA,0.1365,429.3,42.4,3,NA,NA,1,NA,1,NA,0,"Unknow"
"SOAD14594","Navaldia","Yes","Recreation","Earth",2.825,0.067,NA,"Unknow","",0.06501,13.31645,"","05/12/2018","2",NA,"Significant","Poor",NA,0.1398,6.7,235.1,5.2,2.825,0.067,0,NA,1,NA,0,"Unknow"
"SOAD02827","Navaldia","Yes","Recreation","Earth",3.001,0.163,5550,"Unknow","",0.00591,0,"Uncontrolled","15/03/2023","Unknow",NA,"High","Fair","2023-08-15",0.0916,40.3,690.1,4.6,3.001,0.163,0,5550,0,8.62173337069016,0,"Unknow"
"SOAD04177","Navaldia","Yes","Flood Risk Reduction","Earth",7.397,0.025,NA,"1999","2005H",NA,2.66329,"","29/11/2018","2",NA,"Significant","Satisfactory",NA,0.121,185.5,218.2,NA,7.397,0.025,0,NA,1,NA,1,"2005"
"SOAD10896","Navaldia","Yes","Recreation","Earth",3.556,0.06,NA,"1973","",0.00394,2.66329,"","17/11/2017","2",NA,"Significant","Satisfactory",NA,0.1378,28.1,103.3,4.6,3.556,0.06,0,NA,1,NA,0,"Unknow"
"SOAD17150","Navaldia","Yes","Flood Risk Reduction","Earth",6.819,0.067,NA,"1948","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair","2021-04-01",0.0985,39.2,851.5,NA,6.819,0.067,0,NA,1,NA,0,"Unknow"
"SOAD17354","Navaldia","Yes","Unknow","Earth",10.606,0.053,NA,"2008","",0.02364,0,"Uncontrolled","15/06/2022","5",1.67,"Significant","Fair","2022-08-25",0.1097,8,865.3,NA,10.606,0.053,0,NA,1,NA,0,"Unknow"
"SOAD02782","Navaldia","Yes","Flood Risk Reduction","Earth",4.227,0.083,NA,"1991","",0.00591,2.66329,"","25/04/2019","2",NA,"Significant","Fair",NA,0.1357,47.1,418.9,NA,4.227,0.083,0,NA,1,NA,0,"Unknow"
"SOAD14624","Navaldia","Yes","Flood Risk Reduction","Earth",3.41,0.063,NA,"1985","",NA,2.66329,"","14/04/2020","2",NA,"Significant","Fair",NA,0.1433,373.8,255.4,NA,3.41,0.063,0,NA,1,NA,0,"Unknow"
"SOAD15975","Navaldia","No","Unknow","Earth",5.836,0.027,NA,"Unknow","",0.00394,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated","2014-08-18",0.1649,13.3,322.8,NA,5.836,0.027,0,NA,1,NA,0,"Unknow"
"SOAD13160","Navaldia","Yes","Unknow","Earth",2.784,0.133,NA,"Unknow","",0.01379,0,"Uncontrolled","07/12/2021","2",1.61,"High","Poor","2022-03-17",0.1141,36.1,107.1,NA,2.784,0.133,0,NA,1,NA,0,"Unknow"
"SOAD14607","Navaldia","No","Unknow","Earth",5.355,0.123,NA,"1965","",0.00788,0,"Uncontrolled","17/10/2007","Unknow",NA,"Significant","Not Rated","2014-06-18",0.1451,7.9,446.3,NA,5.355,0.123,0,NA,1,NA,0,"Unknow"
"SOAD15607","Navaldia","Yes","Flood Risk Reduction","Earth",6.12,0.04,NA,"1992","",NA,2.66329,"","19/07/2019","2",NA,"Significant","Satisfactory",NA,0.1106,186.3,161.6,NA,6.12,0.04,0,NA,1,NA,0,"Unknow"
"SOAD18799","Navaldia","Yes","Flood Risk Reduction","Earth",3.336,0.123,NA,"Unknow","",NA,2.66329,"","04/12/2020","1",NA,"High","Satisfactory",NA,0.1017,532.3,925.3,NA,3.336,0.123,0,NA,1,NA,0,"Unknow"
"SOAD01460","Navaldia","Yes","Unknow","Earth",9.399,0.133,NA,"1948","",0,2.66329,"Uncontrolled","12/02/2020","2",NA,"High","Poor","2021-03-31",0.13,41.8,596.3,NA,9.399,0.133,0,NA,1,NA,0,"Unknow"
"SOAD07202","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",4.746,0.11,NA,"1990","1991S",0.00788,0,"Uncontrolled","08/07/2009","5",NA,"Significant","Not Rated","2014-07-08",0.0923,19,308.6,NA,4.746,0.11,0,NA,1,NA,1,"1991"
"SOAD14722","Navaldia","Yes","Flood Risk Reduction","Earth",3.556,0.053,NA,"1998","",NA,7.98987,"","29/12/2020","1",NA,"High","Satisfactory",NA,0.1039,625.3,716.1,NA,3.556,0.053,0,NA,1,NA,0,"Unknow"
"SOAD20423","Navaldia","Yes","Flood Risk Reduction","Earth",3.25,0.117,NA,"1994","",NA,2.66329,"","28/01/2021","1",NA,"High","Fair",NA,0.096,632.1,897.7,NA,3.25,0.117,0,NA,1,NA,0,"Unknow"
"SOAD00063","Navaldia","No","Recreation","Earth",3.509,0,NA,"1982","",0,0,"","28/07/2009","Unknow",NA,"Significant","Not Rated","2014-07-28",0.1722,36.1,42.1,5.5,3.509,NA,1,NA,1,NA,0,"Unknow"
"SOAD04234","Navaldia","Yes","Flood Risk Reduction","Earth",4.295,0.1,NA,"1948","",0,0,"Uncontrolled","12/02/2020","5",0,"High","Fair","2021-03-31",0.0574,42.9,263.9,NA,4.295,0.1,0,NA,1,NA,0,"Unknow"
"SOAD05848","Navaldia","Yes","Recreation","Earth",4.178,0.067,NA,"1973","",0.00591,2.66329,"","17/11/2017","2",NA,"Significant","Poor",NA,0.1479,25,424.5,6.3,4.178,0.067,0,NA,1,NA,0,"Unknow"
"SOAD12960","Navaldia","Yes","Water Supply","Earth",6.807,0.067,NA,"1915","",0.00788,10.65316,"","14/10/2020","1",NA,"High","Poor",NA,0.1269,35.4,874.2,17,6.807,0.067,0,NA,1,NA,0,"Unknow"
"SOAD05174","Navaldia","Yes","Flood Risk Reduction","Earth",8.942,0.09,NA,"Unknow","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair","2021-04-01",0.0881,27.2,305,NA,8.942,0.09,0,NA,1,NA,0,"Unknow"
"SOAD06379","Navaldia","No","Unknow","Earth",7.121,0.024,NA,"Unknow","",0.00591,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated","2014-08-18",0.111,23.1,392.8,NA,7.121,0.024,0,NA,1,NA,0,"Unknow"
"SOAD09118","Navaldia","Yes","Recreation","Earth",7.888,0.1,NA,"Unknow","2002H",0.02955,23.96961,"Uncontrolled","27/08/2020","2",NA,"Significant","Satisfactory",NA,0.1212,5.9,71.8,8.3,7.888,0.1,0,NA,1,NA,1,"2002"
"SOAD10640","Navaldia","Yes","Flood Risk Reduction","Earth",3.884,0.058,4140,"2009","",0.00788,0,"Uncontrolled","08/12/2021","5",NA,"Significant","Fair","2022-07-27",0.1218,9.4,124.5,NA,3.884,0.058,0,4140,0,8.32869258354557,0,"Unknow"
"SOAD11247","Navaldia","Yes","Recreation","Earth",3.242,0.04,NA,"1936","",0.02167,2.66329,"","29/06/2017","2",NA,"Significant","Fair",NA,0.1364,6.1,252.1,6,3.242,0.04,0,NA,1,NA,0,"Unknow"
"SOAD11707","Navaldia","No","Unknow","Earth",5.459,0.039,NA,"Unknow","",0.00788,0,"Uncontrolled","18/08/2009","Unknow",NA,"Significant","Not Rated","2014-08-18",0.1546,32.1,400.2,NA,5.459,0.039,0,NA,1,NA,0,"Unknow"
"SOAD15867","Navaldia","Yes","Recreation","Earth",5.156,0.183,NA,"1982","2002S",0.03349,2.66329,"","19/01/2021","1",NA,"High","Fair",NA,0.1167,15.5,887.5,8.2,5.156,0.183,0,NA,1,NA,1,"2002"
"SOAD05893","Navaldia","Yes","Other","Earth",7.354,0.048,NA,"Unknow","",0.00788,7.98987,"","29/03/2017","2",NA,"Significant","Not Rated",NA,0.167,17.2,74.7,NA,7.354,0.048,0,NA,1,NA,0,"Unknow"
"SOAD12488","Navaldia","No","Other","Earth",4.199,0.043,NA,"Unknow","",0.00788,0,"Uncontrolled","24/08/2009","Unknow",NA,"Significant","Not Rated","2014-08-24",0.1619,44.7,473.7,NA,4.199,0.043,0,NA,1,NA,0,"Unknow"
"SOAD18907","Navaldia","Yes","Flood Risk Reduction","Earth",4.068,0.125,NA,"1986","",NA,2.66329,"","28/01/2021","1",NA,"High","Satisfactory",NA,0.085,862.4,828.4,NA,4.068,0.125,0,NA,1,NA,0,"Unknow"
"SOAD00892","Navaldia","Yes","Flood Risk Reduction","Earth",4.974,0.147,NA,"1993","",NA,2.66329,"","27/07/2018","2",NA,"Significant","Not Rated",NA,0.1355,310.9,31.4,NA,4.974,0.147,0,NA,1,NA,0,"Unknow"
"SOAD11305","Navaldia","Yes","Recreation","Earth",5.32,0.067,NA,"Unknow","",0.00591,7.98987,"","12/10/2020","1",NA,"High","Satisfactory",NA,0.0907,42.2,713.7,5.9,5.32,0.067,0,NA,1,NA,0,"Unknow"
"SOAD14530","Navaldia","Yes","Flood Risk Reduction","Earth",3.487,0.16,NA,"1979","",NA,2.66329,"","22/03/2019","2",NA,"Significant","Fair",NA,0.1276,388,302.4,NA,3.487,0.16,0,NA,1,NA,0,"Unknow"
"SOAD15004","Navaldia","Yes","Recreation","Earth",6.437,0.05,NA,"Unknow","",0.00985,2.66329,"","23/03/2021","1",NA,"High","Fair",NA,0.1056,12.8,805.9,7.1,6.437,0.05,0,NA,1,NA,0,"Unknow"
"SOAD15153","Navaldia","Yes","Recreation","Earth",6.847,0.067,NA,"Unknow","",0.01182,2.66329,"","15/11/2017","2",NA,"Significant","Satisfactory",NA,0.1042,43.1,350,8.7,6.847,0.067,0,NA,1,NA,0,"Unknow"
"SOAD15297","Navaldia","Yes","Recreation","Earth",3.795,0.037,NA,"Unknow","",0.01576,2.66329,"","04/12/2020","2",NA,"Significant","Fair",NA,0.1444,27.9,276.7,6.6,3.795,0.037,0,NA,1,NA,0,"Unknow"
"SOAD20131","Navaldia","Yes","Recreation","Earth",3.533,0.15,NA,"Unknow","1991S",0.01773,0,"Uncontrolled","14/09/2016","5",1.61,"High","Not Rated","2021-09-14",0.1054,43.2,904.3,4.7,3.533,0.15,0,NA,1,NA,1,"1991"
"SOAD00226","Navaldia","Yes","Flood Risk Reduction","Earth",8.065,0.083,NA,"1965","",0.00985,0,"","19/10/2018","2",NA,"Significant","Satisfactory",NA,0.122,18.4,339.5,NA,8.065,0.083,0,NA,1,NA,0,"Unknow"
"SOAD01190","Navaldia","Yes","Recreation","Earth",5.321,0.133,NA,"1968","1975S",0.00788,0,"Uncontrolled","26/03/2015","5",NA,"High","Not Rated","2020-03-26",0.1004,9.5,590,3.1,5.321,0.133,0,NA,1,NA,1,"1975"
"SOAD06606","Navaldia","Yes","Flood Risk Reduction","Earth",9.137,0.067,NA,"Unknow","",NA,2.66329,"","19/10/2018","2",NA,"Significant","Satisfactory",NA,0.1135,217.4,441.6,NA,9.137,0.067,0,NA,1,NA,0,"Unknow"
"SOAD10931","Navaldia","Yes","Water Supply","Earth",8.504,0.055,NA,"1915","",0.01773,10.65316,"","14/10/2020","1",NA,"High","Poor",NA,0.1244,41.7,670.2,16.5,8.504,0.055,0,NA,1,NA,0,"Unknow"
"SOAD11393","Navaldia","Yes","Flood Risk Reduction","Earth",6.931,0.09,NA,"1948","",0,0,"Uncontrolled","13/02/2020","5",0.16,"High","Fair","2021-04-01",0.0739,5.1,128.3,NA,6.931,0.09,0,NA,1,NA,0,"Unknow"
"SOAD19959","Navaldia","Yes","Recreation","Earth",5.04,0.083,NA,"Unknow","",NA,2.66329,"","21/09/2017","2",NA,"Significant","Fair",NA,0.1325,124.5,308.9,3.9,5.04,0.083,0,NA,1,NA,0,"Unknow"
"SOAD00463","Navaldia","Yes","Flood Risk Reduction","Earth",3.213,0.028,NA,"Unknow","",NA,2.66329,"","07/10/2016","2",NA,"Significant","Fair",NA,0.1296,78.2,288.6,NA,3.213,0.028,0,NA,1,NA,0,"Unknow"
"SOAD01374","Navaldia","Yes","Flood Risk Reduction","Earth",3.889,0.117,NA,"Unknow","2003H",NA,0,"Uncontrolled","25/10/2017","2",NA,"Significant","Fair",NA,0.1215,451.1,348.9,NA,3.889,0.117,0,NA,1,NA,1,"2003"
"SOAD03552","Navaldia","Yes","Recreation","Earth",4.689,0.07,NA,"1982","",0.01576,5.32658,"","08/09/2017","2",NA,"Significant","Poor",NA,0.137,18.6,32.5,6.1,4.689,0.07,0,NA,1,NA,0,"Unknow"
"SOAD05302","Navaldia","Yes","Recreation","Earth",6.739,0.073,NA,"1986","",0.01773,0,"Uncontrolled","19/10/2016","5",7.18,"Significant","Not Rated","2021-10-19",0.1423,27,135.5,7.5,6.739,0.073,0,NA,1,NA,0,"Unknow"
"SOAD08078","Navaldia","Yes","Flood Risk Reduction","Earth",6.5,0.2,NA,"Unknow","",NA,13.31645,"","09/08/2018","2",NA,"Significant","Not Rated",NA,0.1676,188.6,94,NA,6.5,0.2,0,NA,1,NA,0,"Unknow"
"SOAD08991","Navaldia","Yes","Flood Risk Reduction","Earth",4.186,0.133,NA,"Unknow","",NA,2.66329,"","26/03/2019","2",NA,"Significant","Poor",NA,0.1478,460,314.3,NA,4.186,0.133,0,NA,1,NA,0,"Unknow"
"SOAD02260","Navaldia","Yes","Other","Earth",3.844,0.053,NA,"1980","",0.06107,7.98987,"Uncontrolled","11/08/2022","5",NA,"Significant","Fair","2023-02-16",0.1067,26.3,473.8,NA,3.844,0.053,0,NA,1,NA,0,"Unknow"
"SOAD03198","Navaldia","Yes","Recreation","Earth",7.737,0.087,NA,"1886","",0.01379,2.66329,"","05/12/2019","1",NA,"High","Fair",NA,0.0935,16.7,579.3,6.7,7.737,0.087,0,NA,1,NA,0,"Unknow"
