ID,Region,Regulated.Dam,Primary.Purpose,Primary.Type,Height..m.,Length..km.,Volume..m3.,Year.Completed,Years.Modified,Surface..km2.,Drainage..km2.,Spillway,Last.Inspection.Date,Inspection.Frequency,Distance.to.Nearest.City..km.,Hazard,Assessment,Assessment.Date,Probability.of.Failure,Loss.given.failure...prop..Qm.,Loss.given.failure...liab..Qm.,Loss.given.failure...BI..Qm.,Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year,Height..m._missing,Length..km._missing,Volume..m3._missing,Drainage..km2._missing,Surface..km2._missing,Distance.to.Nearest.City..km._missing
SOAD00072,Navaldia,Yes,Recreation,Earth,6.8473786428823935,0.12458439259751652,17261.88002912537,Unknow,,0.02364,2.66329,,11/08/2015,2,13.095021601706692,Significant,Satisfactory,,0.1258,20.8,296.9,8.1,,,1,,1,,0,Unknow,1,1,1,0,0,1
SOAD00380,Navaldia,No,Unknow,Earth,2.713,0.7142126278828381,7142759.688888889,1927,,277.1728774041667,28557.81336442606,,07/11/2018,5,1.9917502224208226,High,Not Available,,0.0757,930.5,727.5,69.11691861774361,2.713,,1,,1,,0,Unknow,0,1,1,1,1,1
SOAD00610,Navaldia,Yes,Recreation,Earth,6.548605337655885,0.3337240062176754,30294.120071420155,Unknow,,0.8153981766883175,93.53578077382464,,,2,8.041575679215134,Significant,Satisfactory,,0.1375,355.5,427.3,8.6,,,1,,1,,0,Unknow,1,1,1,1,1,1
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,23454.175445710764,Unknow,,0.6008622766915963,2.66329,,26/06/2017,2,12.792758510989541,Significant,Fair,,0.1198,463.4,228.2,5.1,8.084,0.14,0,,1,,0,Unknow,0,0,1,0,1,1
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,12.866375184840031,0.6769483749761364,6774861.985396827,Unknow,,224.79265493333344,39457.019191667736,,26/02/2021,1,1.6682633284123511,High,Not Rated,,0.1131,874.0,743.5,68.87406446437377,,,1,,1,,0,Unknow,1,1,1,1,1,1
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,0.09744845227744889,19996.51820998421,Unknow,,0.00788,2.66329,,02/03/2018,2,44.66306666666665,Significant,Fair,,0.1556,13.9,25.1,2.9,4.848,,1,,1,,0,Unknow,0,1,1,0,0,1
SOAD05688,Navaldia,Yes,Irrigation,Earth,6.647355878103193,0.2770428809148137,35207.09963782029,Unknow,,0.7694042677476393,2.66329,,03/03/2021,2,14.75883143290029,Significant,Satisfactory,,0.1126,106.2,189.6,47.1,,,1,,1,,0,Unknow,1,1,1,0,1,1
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966,,47.89371789624277,7648.938281086133,,08/06/2022,5,2.478558427570356,High,Not Available,,0.0615,13.3,621.3,53.407639226269254,16.88,2.235,0,2300000.0,0,14.6484201156819,0,Unknow,0,0,0,1,1,1
SOAD14437,Navaldia,Yes,Unknow,Earth,9.103,0.067,56851.60373759974,1964,,0.5957137776881961,5.32658,,19/12/2018,2,18.190066217954662,Significant,Fair,,0.1439,333.9,179.7,41.51467825587139,9.103,0.067,0,,1,,0,Unknow,0,0,1,0,1,1
SOAD15410,Navaldia,Yes,Other,Earth,6.7556378152895755,0.2947303983471768,33504.0257045892,Unknow,,0.12971616096947164,10.65316,,16/03/2021,2,7.409094684125383,Significant,Poor,,0.1527,39.4,421.5,27.723327445924788,,,1,,1,,0,Unknow,1,1,1,0,1,1
SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,0.15055449227119305,37485.35818766502,Unknow,,0.7716725511587351,2.66329,,,2,14.345481710527771,Significant,Not Rated,,0.1362,271.6,123.8,5.6,3.419,,1,,1,,0,Unknow,0,1,1,0,1,1
SOAD18532,Navaldia,Yes,Recreation,Earth,8.035101397837328,0.8280512204540881,95694.10762116445,Unknow,,0.9635009073181129,266.11838785088065,,,2,37.33143650793654,Significant,Not Rated,,0.1365,429.3,42.4,3.0,,,1,,1,,0,Unknow,1,1,1,1,1,1
SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,18969.8433800582,Unknow,,0.06501,13.31645,,05/12/2018,2,13.656163628745652,Significant,Poor,,0.1398,6.7,235.1,5.2,2.825,0.067,0,,1,,0,Unknow,0,0,1,0,0,1
SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,Unknow,,0.00591,27.48511152098274,Uncontrolled,15/03/2023,Unknow,2.5410622929399436,High,Fair,2023-08-15,0.0916,40.3,690.1,4.6,3.001,0.163,0,5550.0,0,8.62173337069016,0,Unknow,0,0,0,1,0,1
SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,43479.823669610036,1999,2005H,0.5985850840698915,2.66329,,29/11/2018,2,15.345340700757973,Significant,Satisfactory,,0.121,185.5,218.2,39.5520672598832,7.397,0.025,0,,1,,1,2005,0,0,1,0,1,1
