ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD00072,Navaldia,Yes,Recreation,Earth,0.0,,,,,0.02364,2.66329,,11/08/2015,2.0,,Significant,Satisfactory,,0.1258,20.8,296.9,8.1
SOAD00380,Navaldia,No,,Earth,2.713,,,1927.0,,,,,07/11/2018,5.0,,High,Not Available,,0.0757,930.5,727.5,
SOAD00610,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Satisfactory,,0.1375,355.5,427.3,8.6
SOAD00862,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1403,295.1,25.3,
SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,,1981.0,,0.04728,,Uncontrolled,24/09/2021,3.0,16.43,High,Not Rated,,0.0998,11.5,203.0,5.6
SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,,1998.0,,0.06107,,Uncontrolled,,,,High,Unsatisfactory,,0.1283,11.5,733.7,8.2
SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,,,,0.04137,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1394,7.3,248.5,9.5
SOAD02636,Flumevale,No,Water Supply,Concrete,2.018,0.017,,1968.0,1968M,,,Controlled,24/10/2013,,8.16,Significant,Not Rated,,0.1547,416.3,441.8,52.6
SOAD02906,Flumevale,Yes,,Earth,0.0,0.082,15650.0,1947.0,,0.01773,,,05/08/2020,1.0,0.0,High,Not Available,,0.1355,30.6,651.4,
SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,,,,19.1484,,Uncontrolled,,,7.06,High,,,0.0853,814.7,277.8,53.4
SOAD03835,Flumevale,No,Recreation,Concrete,18.142,0.224,,1908.0,2010M,,,Uncontrolled,15/09/2020,1.0,5.0,High,Not Rated,,0.0891,486.8,794.9,8.9
SOAD04339,Navaldia,Yes,Recreation,Earth,8.084,0.14,,,,,2.66329,,26/06/2017,2.0,,Significant,Fair,,0.1198,463.4,228.2,5.1
SOAD04980,Navaldia,Yes,Flood Risk Reduction,Earth,0.0,,,,,,,,26/02/2021,1.0,,High,Not Rated,,0.1131,874.0,743.5,
SOAD05158,Navaldia,Yes,Recreation,Earth,4.848,,,,,0.00788,2.66329,,02/03/2018,2.0,,Significant,Fair,,0.1556,13.9,25.1,2.9
SOAD05688,Navaldia,Yes,Irrigation,Earth,0.0,,,,,,2.66329,,03/03/2021,2.0,,Significant,Satisfactory,,0.1126,106.2,189.6,47.1
SOAD05705,Flumevale,No,Recreation,Earth,8.746,0.1,15000.0,1950.0,,,,Uncontrolled,22/10/2015,5.0,83.19,Significant,Not Rated,,0.1355,107.0,74.2,6.1
SOAD06129,Navaldia,No,Flood Risk Reduction,Rockfill,10.0,3.913,,1979.0,,,,Uncontrolled,15/07/2021,5.0,,High,Not Available,,0.0598,622.1,806.0,
SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,,2001.0,,0.045309999999999996,322.25809,,,3.0,8.09,High,Not Rated,,0.0837,27.3,278.2,8.1
SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,1918.0,,,,Controlled,28/09/2015,5.0,,Significant,Not Rated,,0.1108,219.6,160.6,38.9
SOAD07546,Lyndrassia,Yes,,,16.22,0.283,,,,,,,,3.0,,High,,,0.0736,615.9,700.1,
SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,,1899.0,,,,Uncontrolled,13/08/2020,,,Significant,Not Rated,,0.1495,301.1,118.8,
SOAD07707,Lyndrassia,Yes,Tailings,,0.0,,0.0,,,2.16503,,,,,,High,Satisfactory,29/06/2018,0.1036,120.3,918.2,
SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1321,156.2,48.3,
SOAD10407,Lyndrassia,Yes,,,16.57,,,1990.0,,,,Uncontrolled,08/01/2020,,8.69,High,Satisfactory,13/07/2020,0.0927,651.7,425.6,
SOAD10567,Lyndrassia,Yes,,Earth,35.081,,0.0,,,,,,30/08/2011,0.0,2.35,Significant,Satisfactory,20/07/2011,0.114,230.5,534.4,
SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,,1875.0,,,,Uncontrolled,26/02/2020,1.0,,High,Not Rated,,0.1203,851.5,772.2,
SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,1966.0,,0.0,0.0,,08/06/2022,5.0,,High,Not Available,,0.0615,13.3,621.3,
SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,,2005.0,,,,,11/09/2018,5.0,,Significant,Not Available,,0.1411,256.9,461.9,
SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,,1996.0,,0.04925,,Uncontrolled,,,,High,Unsatisfactory,,0.1387,30.2,611.4,5.5
SOAD11500,Lyndrassia,Yes,,Earth,15.276,,,,,0.14381,,,,,6.58,High,Unsatisfactory,,0.1316,6.8,320.1,
SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,,1982.0,,0.04728,,Uncontrolled,,,0.0,High,Unsatisfactory,,0.1421,30.9,948.3,6.5
SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,,2003.0,,0.44916,,Uncontrolled,07/09/2021,3.0,87.32,High,Not Rated,,0.1011,141.8,215.8,26.2
SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,,,,,0.06895,,Uncontrolled,,,,High,Unsatisfactory,,0.1338,7.6,732.8,4.3
SOAD12910,Navaldia,Yes,,,0.0,,,,,,,,,2.0,,Significant,Unsatisfactory,,0.1771,453.8,472.6,
SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,,1941.0,2012H,,,Uncontrolled,28/09/2015,,,Significant,Not Rated,,0.1454,461.4,341.7,
SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,,1988.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1413,39.5,576.5,3.6
SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,,,,0.0394,,Uncontrolled,,,21.46,High,Unsatisfactory,,0.1369,17.8,250.2,6.5
SOAD14215,Navaldia,Yes,,,0.0,,,,,,5.32658,,,2.0,,Significant,Not Rated,,0.1373,68.1,175.4,
SOAD14437,Navaldia,Yes,,Earth,9.103,0.067,,1964.0,,,5.32658,,19/12/2018,2.0,,Significant,Fair,,0.1439,333.9,179.7,
SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,,1899.0,,,,Uncontrolled,25/07/2012,,,Significant,Not Rated,,0.1324,223.3,368.4,
SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,,,,,0.08668,,,,,,High,Unsatisfactory,,0.1388,10.0,755.7,3.7
SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,,2002.0,,0.17336,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1534,26.0,495.2,5.2
SOAD15410,Navaldia,Yes,Other,Earth,0.0,,,,,,10.65316,,16/03/2021,2.0,,Significant,Poor,,0.1527,39.4,421.5,
SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,1981.0,,,,Uncontrolled,25/04/2021,1.0,17.39,High,Satisfactory,11/10/2019,0.0874,910.7,208.7,4.1
SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,,,,0.03349,,Uncontrolled,,,,High,Unsatisfactory,,0.1325,15.9,952.6,7.6
SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,,1981.0,,0.06304,,Uncontrolled,,3.0,,High,Unsatisfactory,,0.1381,33.2,932.1,8.7
SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,,1986.0,,0.05516,,Uncontrolled,,,13.52,High,Unsatisfactory,,0.1368,18.2,454.3,6.7
SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,,2002.0,,0.08077,,Uncontrolled,07/09/2021,3.0,,High,Not Rated,,0.0951,27.1,863.9,
SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,,,,,,2.66329,,,2.0,,Significant,Not Rated,,0.1362,271.6,123.8,5.6
SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,,2012.0,,0.03743,,Uncontrolled,,,1.54,High,Unsatisfactory,,0.1175,12.7,552.7,9.5
SOAD17642,Lyndrassia,Yes,,,14.396,,,2018.0,,,,,29/08/2022,3.0,9.43,High,Not Rated,11/07/2019,0.0792,939.5,181.0,
SOAD18020,Lyndrassia,Yes,,Earth,28.472,,0.0,,,,,,30/08/2011,0.0,2.43,Significant,Satisfactory,20/07/2011,0.1325,375.1,318.3,
SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,,1949.0,,,,Uncontrolled,26/02/2020,1.0,0.16,High,Not Rated,,0.102,925.1,619.9,
SOAD18532,Navaldia,Yes,Recreation,Earth,0.0,,,,,,,,,2.0,,Significant,Not Rated,,0.1365,429.3,42.4,3.0
SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,,,2008,0.11426,,Uncontrolled,,3.0,4.94,High,Not Rated,,0.111,30.4,927.7,4.9
SOAD00531,Flumevale,No,Hydroelectric,Concrete,5.452,2.467,,1988.0,,,,,31/08/2023,1.0,16.83,Significant,Satisfactory,29/09/2023,0.1362,441.6,446.0,78.2
SOAD08570,Flumevale,No,,Concrete,3.451,,,,,0.00788,,,29/08/2023,1.0,,Significant,Satisfactory,29/09/2023,0.1192,8.6,196.4,
SOAD09546,Flumevale,No,Hydroelectric,,0.346,,,1988.0,,,,,30/09/2020,1.0,,Significant,Not Available,,0.1111,112.7,257.4,
SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,,,,0.06501,13.31645,,05/12/2018,2.0,,Significant,Poor,,0.1398,6.7,235.1,5.2
SOAD15319,Flumevale,No,Hydroelectric,Rockfill,12.066,,,1965.0,,,35962.40487,Uncontrolled,01/08/2023,1.0,75.25,Significant,Satisfactory,29/09/2023,0.1101,171.3,216.0,55.9
SOAD16049,Navaldia,Yes,Debris Control,Gravity,4.704,0.027,,1966.0,,,2.66329,,26/08/2020,1.0,,High,Fair,,0.1113,662.4,805.4,
SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,1971.0,,0.00788,,,06/07/2023,1.0,6.32,High,Satisfactory,29/09/2023,0.1104,16.4,201.5,
SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,,,0.00591,0.0,Uncontrolled,15/03/2023,,,High,Fair,15/08/2023,0.0916,40.3,690.1,4.6
SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,,1999.0,2005H,,2.66329,,29/11/2018,2.0,,Significant,Satisfactory,,0.121,185.5,218.2,
SOAD08152,Navaldia,Yes,,,3.452,0.047,,,,,,Uncontrolled,09/08/2021,5.0,,High,Fair,09/12/2021,0.0753,611.0,934.6,
SOAD10896,Navaldia,Yes,Recreation,Earth,3.556,0.06,,1973.0,,0.00394,2.66329,,17/11/2017,2.0,,Significant,Satisfactory,,0.1378,28.1,103.3,4.6
SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,1989.0,1989,0.00788,0.0,Uncontrolled,14/05/2020,2.0,7.74,High,Satisfactory,19/12/2007,0.0905,10.8,129.6,
SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,,1948.0,,0.0,0.0,Uncontrolled,13/02/2020,5.0,0.16,High,Fair,01/04/2021,0.0985,39.2,851.5,
SOAD17354,Navaldia,Yes,,Earth,10.606,0.053,,2008.0,,0.02364,0.0,Uncontrolled,15/06/2022,5.0,1.67,Significant,Fair,25/08/2022,0.1097,8.0,865.3,
SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,,1991.0,,0.00591,2.66329,,25/04/2019,2.0,,Significant,Fair,,0.1357,47.1,418.9,
SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,,1985.0,,,2.66329,,14/04/2020,2.0,,Significant,Fair,,0.1433,373.8,255.4,
SOAD15975,Navaldia,No,,Earth,5.836,0.027,,,,0.00394,0.0,Uncontrolled,18/08/2009,,,Significant,Not Rated,18/08/2014,0.1649,13.3,322.8,
SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,,1996.0,,,,,,,1.69,High,,,0.1556,479.6,579.1,6.2
SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,1983.0,1996,0.00788,0.0,Uncontrolled,18/06/2020,2.0,11.26,Significant,Satisfactory,18/06/2020,0.1354,39.8,121.9,
SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,1993.0,1997,0.00788,0.0,Uncontrolled,19/01/2023,2.0,,Significant,Satisfactory,21/12/2007,0.114,35.1,293.8,
SOAD13160,Navaldia,Yes,,Earth,2.784,0.133,,,,0.01379,0.0,Uncontrolled,07/12/2021,2.0,1.61,High,Poor,17/03/2022,0.1141,36.1,107.1,
SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,,,,,,,,,4.75,High,Not Available,,0.1235,844.9,374.4,
SOAD14607,Navaldia,No,,Earth,5.355,0.123,,1965.0,,0.00788,0.0,Uncontrolled,17/10/2007,,,Significant,Not Rated,18/06/2014,0.1451,7.9,446.3,
SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,,1992.0,,,2.66329,,19/07/2019,2.0,,Significant,Satisfactory,,0.1106,186.3,161.6,
SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,,,,,2.66329,,04/12/2020,1.0,,High,Satisfactory,,0.1017,532.3,925.3,
SOAD01460,Navaldia,Yes,,Earth,9.399,0.133,,1948.0,,0.0,2.66329,Uncontrolled,12/02/2020,2.0,,High,Poor,31/03/2021,0.13,41.8,596.3,
